Date,State,Industry Sector Category,Residential
2018,VA,Total Electric Industry,11.73
2018,VT,Total Electric Industry,18.02
2018,WA,Total Electric Industry,9.75
2018,WI,Total Electric Industry,14.02
2018,WV,Total Electric Industry,11.18
2018,WY,Total Electric Industry,11.29
2018,US,Total Electric Industry,12.87
1/1/2018,AK,Full-Service Providers,21.94
1/8/2018,AL,Full-Service Providers,12.18
1/15/2018,AR,Full-Service Providers,9.81
1/22/2018,AZ,Full-Service Providers,12.77
1/29/2018,CA,Full-Service Providers,18.55
2/5/2018,CO,Full-Service Providers,12.15
2/12/2018,CT,Full-Service Providers,20.75
2/19/2018,DC,Full-Service Providers,12.11
2/26/2018,DE,Full-Service Providers,12.40
3/5/2018,FL,Full-Service Providers,11.54
3/12/2018,GA,Full-Service Providers,11.47
3/19/2018,HI,Full-Service Providers,32.47
3/26/2018,IA,Full-Service Providers,12.24
4/2/2018,ID,Full-Service Providers,10.15
4/9/2018,IL,Full-Service Providers,12.60
4/16/2018,IN,Full-Service Providers,12.26
4/23/2018,KS,Full-Service Providers,13.35
4/30/2018,KY,Full-Service Providers,10.60
5/7/2018,LA,Full-Service Providers,9.59
5/14/2018,MA,Full-Service Providers,20.64
5/21/2018,MD,Full-Service Providers,12.94
5/28/2018,ME,Full-Service Providers,16.55
6/4/2018,MI,Full-Service Providers,15.45
6/11/2018,MN,Full-Service Providers,13.14
6/18/2018,MO,Full-Service Providers,11.34
6/25/2018,MS,Full-Service Providers,11.12
7/2/2018,MT,Full-Service Providers,10.96
7/9/2018,NC,Full-Service Providers,11.09
7/16/2018,ND,Full-Service Providers,10.25
7/23/2018,NE,Full-Service Providers,10.70
7/30/2018,NH,Full-Service Providers,19.31
8/6/2018,NJ,Full-Service Providers,15.19
8/13/2018,NM,Full-Service Providers,12.68
8/20/2018,NV,Full-Service Providers,11.85
8/27/2018,NY,Full-Service Providers,18.01
9/3/2018,OH,Full-Service Providers,12.37
9/10/2018,OK,Full-Service Providers,10.30
9/17/2018,OR,Full-Service Providers,10.98
9/24/2018,PA,Full-Service Providers,13.19
10/1/2018,RI,Full-Service Providers,20.34
10/8/2018,SC,Full-Service Providers,12.44
